AnnotationSetName	AnnotationSetVersion	AnnotationSetType	AnnotationSetFields	CreationDate	Build	AnnotationSetSize	Info
hg19_UCSC_wgEncodeCshlShortRnaSeqK562CytosolShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:03:29	hg19	71483	  Number of Instances: AutoScaling ExecutionTime (msec): 314339
hg19_UCSC_wgEncodeCshlShortRnaSeqK562NucleoplasmShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:10:16	hg19	4473338	  Number of Instances: AutoScaling ExecutionTime (msec): 600907
hg19_UCSC_wgEncodeCshlShortRnaSeqK562NucleusShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:07:05	hg19	47576	  Number of Instances: AutoScaling ExecutionTime (msec): 349240
hg19_UCSC_wgEncodeCshlShortRnaSeqProstateCellShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:20:05	hg19	184545	  Number of Instances: AutoScaling ExecutionTime (msec): 559018
hg19_UCSC_wgEncodeCshlShortRnaSeqGm12878NucleusShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 08:43:09	hg19	49763	  Number of Instances: AutoScaling ExecutionTime (msec): 355173
hg19_UCSC_wgEncodeCshlShortRnaSeqK562PolysomeShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:10:35	hg19	15351	  Number of Instances: AutoScaling ExecutionTime (msec): 500337
hg19_UCSC_wgEncodeCshlShortRnaSeqK562CellShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:01:36	hg19	86605	  Number of Instances: AutoScaling ExecutionTime (msec): 321264
hg19_UCSC_decodeHotSpotMale	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 16:56:50	hg19	4771	  Number of Instances: AutoScaling ExecutionTime (msec): 336177
hg19_UCSC_rgdQtl	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 20:19:53	hg19	225	  Number of Instances: AutoScaling ExecutionTime (msec): 301360
hg19_UCSC_geneReviews	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 17:03:50	hg19	1591	  Number of Instances: AutoScaling ExecutionTime (msec): 305428
hg19_UCSC_agilentCgh1x1m	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:42:29	hg19	969033	  Number of Instances: AutoScaling ExecutionTime (msec): 376133
hg19_UCSC_agilentCgh2x400k	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:43:43	hg19	415914	  Number of Instances: AutoScaling ExecutionTime (msec): 359723
hg19_UCSC_agilentCgh8x60k	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:44:17	hg19	59175	  Number of Instances: AutoScaling ExecutionTime (msec): 304591
hg19_UCSC_agilentCgh4x180k	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:43:42	hg19	174675	  Number of Instances: AutoScaling ExecutionTime (msec): 328971
hg19_UCSC_jaxQtlAsIs	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 17:50:45	hg19	383	  Number of Instances: AutoScaling ExecutionTime (msec): 297968
hg19_UCSC_microsat	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 18:07:59	hg19	41572	  Number of Instances: AutoScaling ExecutionTime (msec): 312501
hg19_UCSC_agilentCgh2x105k	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:42:23	hg19	100034	  Number of Instances: AutoScaling ExecutionTime (msec): 309672
hg19_UCSC_altLocations	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:49:41	hg19	9	  Number of Instances: AutoScaling ExecutionTime (msec): 329844
hg19_UCSC_snpediaText	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 20:51:10	hg19	5313	  Number of Instances: AutoScaling ExecutionTime (msec): 317331
hg19_UCSC_agilentCgh1x244k	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:42:37	hg19	238331	  Number of Instances: AutoScaling ExecutionTime (msec): 354546
hg19_UCSC_locusName	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 18:07:05	hg19	504352	  Number of Instances: AutoScaling ExecutionTime (msec): 379455
hg19_UCSC_jaxQtlPadded	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 17:51:33	hg19	1462	  Number of Instances: AutoScaling ExecutionTime (msec): 315408
hg19_UCSC_rgdRatQtl	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 20:20:42	hg19	5804	  Number of Instances: AutoScaling ExecutionTime (msec): 320756
hg19_UCSC_agilentCgh4x44k	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 15:43:49	hg19	43143	  Number of Instances: AutoScaling ExecutionTime (msec): 305518
hg19_UCSC_decodeHotSpotFemale	1.0	generic	bin,chrom,chromStart,chromEnd,name	2018/03/08 16:56:37	hg19	4135	  Number of Instances: AutoScaling ExecutionTime (msec): 352203
hg19_UCSC_chainGasAcu1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:28:51	hg19	7447621	  Number of Instances: AutoScaling ExecutionTime (msec): 547743
hg19_UCSC_chainCavPor3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:23:30	hg19	240602108	  Number of Instances: AutoScaling ExecutionTime (msec): 825140
hg19_UCSC_chainSusScr2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:55:00	hg19	72687349	  Number of Instances: AutoScaling ExecutionTime (msec): 735914
hg19_UCSC_chainOryCun2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:44:19	hg19	75698210	  Number of Instances: AutoScaling ExecutionTime (msec): 755934
hg19_UCSC_chainGeoFor1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:28:51	hg19	5655878	  Number of Instances: AutoScaling ExecutionTime (msec): 486680
hg19_UCSC_chainEquCab2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:27:24	hg19	122119319	  Number of Instances: AutoScaling ExecutionTime (msec): 760682
hg19_UCSC_chainAllMis1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:18:20	hg19	34874549	  Number of Instances: AutoScaling ExecutionTime (msec): 816137
hg19_UCSC_chainMonDom5Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:39:54	hg19	133740211	  Number of Instances: AutoScaling ExecutionTime (msec): 730345
hg19_UCSC_chainSorAra2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:54:12	hg19	74351247	  Number of Instances: AutoScaling ExecutionTime (msec): 748607
hg19_UCSC_chainMacFas5Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:36:16	hg19	18557729	  Number of Instances: AutoScaling ExecutionTime (msec): 691399
hg19_UCSC_chainEriEur2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:28:22	hg19	78409504	  Number of Instances: AutoScaling ExecutionTime (msec): 757284
hg19_UCSC_chainRheMac3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:48:08	hg19	17610031	  Number of Instances: AutoScaling ExecutionTime (msec): 623958
hg19_UCSC_chainFelCat5Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:29:19	hg19	88452386	  Number of Instances: AutoScaling ExecutionTime (msec): 753477
hg19_UCSC_chainOrnAna1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:41:30	hg19	25133346	  Number of Instances: AutoScaling ExecutionTime (msec): 646377
hg19_UCSC_chainPetMar2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:45:05	hg19	4472879	  Number of Instances: AutoScaling ExecutionTime (msec): 561320
hg19_UCSC_chainEchTel2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:25:59	hg19	90354197	  Number of Instances: AutoScaling ExecutionTime (msec): 736425
hg19_UCSC_chainMm10Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:39:23	hg19	65462244	  Number of Instances: AutoScaling ExecutionTime (msec): 759448
hg19_UCSC_chainSelfLink	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:49:51	hg19	6882618	  Number of Instances: AutoScaling ExecutionTime (msec): 547206
hg19_UCSC_chainHg19Patch10Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:29:04	hg19	568882	  Number of Instances: AutoScaling ExecutionTime (msec): 380541
hg19_UCSC_chainOviAri3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:47:02	hg19	90345099	  Number of Instances: AutoScaling ExecutionTime (msec): 798697
hg19_UCSC_chainFr2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:26:57	hg19	4408574	  Number of Instances: AutoScaling ExecutionTime (msec): 552502
hg19_UCSC_chainSarHar1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:52:55	hg19	37455866	  Number of Instances: AutoScaling ExecutionTime (msec): 791704
hg19_UCSC_chainOchPri3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:41:48	hg19	64368079	  Number of Instances: AutoScaling ExecutionTime (msec): 724301
hg19_UCSC_chainAnoCar2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:17:02	hg19	22900171	  Number of Instances: AutoScaling ExecutionTime (msec): 678561
hg19_UCSC_chainCriGri1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:25:22	hg19	114351454	  Number of Instances: AutoScaling ExecutionTime (msec): 819034
hg19_UCSC_chainNomLeu3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:39:47	hg19	14295148	  Number of Instances: AutoScaling ExecutionTime (msec): 663360
hg19_UCSC_chainRn4Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:51:52	hg19	58280393	  Number of Instances: AutoScaling ExecutionTime (msec): 787426
hg19_UCSC_chainPonAbe2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:47:45	hg19	17972307	  Number of Instances: AutoScaling ExecutionTime (msec): 660352
hg19_UCSC_chainTetNig2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:52:42	hg19	4536037	  Number of Instances: AutoScaling ExecutionTime (msec): 477787
hg19_UCSC_chainAilMel1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:16:09	hg19	42313637	  Number of Instances: AutoScaling ExecutionTime (msec): 743911
hg19_UCSC_chainCalJac3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:19:24	hg19	25448542	  Number of Instances: AutoScaling ExecutionTime (msec): 700656
hg19_UCSC_chainCanFam3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:21:24	hg19	91171278	  Number of Instances: AutoScaling ExecutionTime (msec): 760466
hg19_UCSC_chainLoxAfr3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:36:12	hg19	106340726	  Number of Instances: AutoScaling ExecutionTime (msec): 747276
hg19_UCSC_chainVicPac2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:59:14	hg19	82016096	  Number of Instances: AutoScaling ExecutionTime (msec): 810610
hg19_UCSC_chainPanTro4Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:44:54	hg19	12934828	  Number of Instances: AutoScaling ExecutionTime (msec): 610756
hg19_UCSC_chainDanRer7Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:25:37	hg19	104778383	  Number of Instances: AutoScaling ExecutionTime (msec): 774074
hg19_UCSC_chainGorGor3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:32:11	hg19	10966049	  Number of Instances: AutoScaling ExecutionTime (msec): 626925
hg19_UCSC_chainMelGal1Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:33:10	hg19	3138050	  Number of Instances: AutoScaling ExecutionTime (msec): 445800
hg19_UCSC_chainXenTro3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 17:00:20	hg19	53998696	  Number of Instances: AutoScaling ExecutionTime (msec): 814380
hg19_UCSC_chainOryLat2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:41:15	hg19	6775178	  Number of Instances: AutoScaling ExecutionTime (msec): 511964
hg19_UCSC_chainBosTau7Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:20:15	hg19	101230925	  Number of Instances: AutoScaling ExecutionTime (msec): 811218
hg19_UCSC_chainTaeGut2Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:56:02	hg19	43812583	  Number of Instances: AutoScaling ExecutionTime (msec): 736565
hg19_UCSC_chainGalGal3Link	1.0	generic	bin,tName,tStart,tEnd,qStart,chainId	2018/03/08 16:28:48	hg19	10222243	  Number of Instances: AutoScaling ExecutionTime (msec): 604153
hg19_UCSC_burgeRnaSeqGemMapperAlignHMEAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:02:20	hg19	7633736	  Number of Instances: AutoScaling ExecutionTime (msec): 518451
hg19_UCSC_iscaPathGainCum	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 17:48:58	hg19	3117	  Number of Instances: AutoScaling ExecutionTime (msec): 312003
hg19_UCSC_burgeRnaSeqGemMapperAlignBrainAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 15:59:34	hg19	6673794	  Number of Instances: AutoScaling ExecutionTime (msec): 531057
hg19_UCSC_burgeRnaSeqGemMapperAlignMB435AllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:06:48	hg19	8613574	  Number of Instances: AutoScaling ExecutionTime (msec): 544871
hg19_UCSC_burgeRnaSeqGemMapperAlignHeartAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:02:41	hg19	4750024	  Number of Instances: AutoScaling ExecutionTime (msec): 479293
hg19_UCSC_iscaBenignLossCum	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 17:46:12	hg19	1923	  Number of Instances: AutoScaling ExecutionTime (msec): 296168
hg19_UCSC_burgeRnaSeqGemMapperAlignTestesAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:11:15	hg19	11454466	  Number of Instances: AutoScaling ExecutionTime (msec): 572658
hg19_UCSC_burgeRnaSeqGemMapperAlignSkelMuscleAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:09:00	hg19	5960886	  Number of Instances: AutoScaling ExecutionTime (msec): 556600
hg19_UCSC_iscaBenignGainCum	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 17:45:36	hg19	3168	  Number of Instances: AutoScaling ExecutionTime (msec): 289263
hg19_UCSC_burgeRnaSeqGemMapperAlignLymphNodeAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:06:18	hg19	9462386	  Number of Instances: AutoScaling ExecutionTime (msec): 573515
hg19_UCSC_burgeRnaSeqGemMapperAlignBT474AllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 15:58:43	hg19	7457126	  Number of Instances: AutoScaling ExecutionTime (msec): 540757
hg19_UCSC_burgeRnaSeqGemMapperAlignLiverAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:03:51	hg19	4355177	  Number of Instances: AutoScaling ExecutionTime (msec): 487333
hg19_UCSC_burgeRnaSeqGemMapperAlignT47DAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:10:29	hg19	7203824	  Number of Instances: AutoScaling ExecutionTime (msec): 585351
hg19_UCSC_burgeRnaSeqGemMapperAlignColonAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:01:57	hg19	7701049	  Number of Instances: AutoScaling ExecutionTime (msec): 555050
hg19_UCSC_burgeRnaSeqGemMapperAlignAdiposeAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 15:57:32	hg19	8203058	  Number of Instances: AutoScaling ExecutionTime (msec): 528717
hg19_UCSC_iscaPathLossCum	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 17:49:11	hg19	6013	  Number of Instances: AutoScaling ExecutionTime (msec): 294986
hg19_UCSC_burgeRnaSeqGemMapperAlignBreastAllRawSignal	1.0	generic	bin,chrom,chromStart,chromEnd,dataValue	2018/03/08 16:01:18	hg19	7377491	  Number of Instances: AutoScaling ExecutionTime (msec): 576250
hg19_UCSC_vistaEnhancers	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 20:59:52	hg19	1339	  Number of Instances: AutoScaling ExecutionTime (msec): 299839
hg19_UCSC_phastConsElements46wayPlacental	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 20:13:15	hg19	3743478	  Number of Instances: AutoScaling ExecutionTime (msec): 384814
hg19_UCSC_phastConsElements46wayPrimates	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 20:12:48	hg19	725627	  Number of Instances: AutoScaling ExecutionTime (msec): 327489
hg19_UCSC_phastConsElements100way	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 20:14:13	hg19	10121223	  Number of Instances: AutoScaling ExecutionTime (msec): 503234
hg19_UCSC_phastConsElements46way	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 20:13:36	hg19	5163775	  Number of Instances: AutoScaling ExecutionTime (msec): 434076
hg19_UCSC_consIndelsHgMmCanFam	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 16:55:25	hg19	2602701	  Number of Instances: AutoScaling ExecutionTime (msec): 429250
hg19_UCSC_ntSssTop5p	1.0	generic	bin,chrom,chromStart,chromEnd,name,score	2018/03/08 18:37:08	hg19	212	  Number of Instances: AutoScaling ExecutionTime (msec): 318916
hg19_UCSC_oreganno	1.0	generic	bin,chrom,chromStart,chromEnd,id,strand,name	2018/03/10 22:56:17	hg19	1449726	  Number of Instances: AutoScaling ExecutionTime (msec): 337970
hg19_UCSC_pubsMarkerBand	1.0	generic	bin,chrom,chromStart,chromEnd,name,matchCount	2018/03/08 20:17:34	hg19	861	  Number of Instances: AutoScaling ExecutionTime (msec): 313583
hg19_UCSC_pubsMarkerSnp	1.0	generic	bin,chrom,chromStart,chromEnd,name,matchCount	2018/03/08 20:18:51	hg19	60548	  Number of Instances: AutoScaling ExecutionTime (msec): 329312
hg19_UCSC_altSeqHaplotypesP9	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 15:50:24	hg19	80	  Number of Instances: AutoScaling ExecutionTime (msec): 311059
hg19_UCSC_altSeqHaplotypesP10	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 15:49:45	hg19	80	  Number of Instances: AutoScaling ExecutionTime (msec): 302047
hg19_UCSC_knownAlt	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 17:52:50	hg19	94820	  Number of Instances: AutoScaling ExecutionTime (msec): 303958
hg19_UCSC_factorbookMotifPos	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 17:03:42	hg19	2366151	  Number of Instances: AutoScaling ExecutionTime (msec): 417490
hg19_UCSC_wgEncodeDacMapabilityConsensusExcludable	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/09 09:25:23	hg19	411	  Number of Instances: AutoScaling ExecutionTime (msec): 517460
hg19_UCSC_altSeqPatchesP10	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 15:51:51	hg19	112	  Number of Instances: AutoScaling ExecutionTime (msec): 307570
hg19_UCSC_targetScanS	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 20:52:30	hg19	54199	  Number of Instances: AutoScaling ExecutionTime (msec): 308639
hg19_UCSC_wgEncodeDukeMapabilityRegionsExcludable	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/09 10:15:56	hg19	1649	  Number of Instances: AutoScaling ExecutionTime (msec): 308769
hg19_UCSC_snpArrayAffy6SV	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 20:47:56	hg19	945615	  Number of Instances: AutoScaling ExecutionTime (msec): 364891
hg19_UCSC_numtSMitochondrion	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 18:38:47	hg19	766	  Number of Instances: AutoScaling ExecutionTime (msec): 329417
hg19_UCSC_numtS	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand	2018/03/08 18:37:27	hg19	766	  Number of Instances: AutoScaling ExecutionTime (msec): 307910
hg19_UCSC_multiz46way	1.0	generic	bin,chrom,chromStart,chromEnd,extFile,offset,score	2018/03/08 18:17:42	hg19	33612571	  Number of Instances: AutoScaling ExecutionTime (msec): 744517
hg19_UCSC_multiz100way	1.0	generic	bin,chrom,chromStart,chromEnd,extFile,offset,score	2018/03/08 18:15:43	hg19	110940480	  Number of Instances: AutoScaling ExecutionTime (msec): 716297
hg19_UCSC_uMassBrainHistonePeaksSample	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,floatScore	2018/03/08 20:54:37	hg19	3214	  Number of Instances: AutoScaling ExecutionTime (msec): 314514
hg19_UCSC_uMassBrainHistonePeaksNeuron	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,floatScore	2018/03/08 20:54:08	hg19	7947	  Number of Instances: AutoScaling ExecutionTime (msec): 316228
